label,text,text_length
2.0,đã qua thời ngồi ghế nhà_trường nhưng mình vẫn thích về môn lịch_sử và rất thích tìm_hiểu những phim tài_liệu tìm_hiểu những trận chiến để tự_hào về thế_hệ anh_hùng tự_hào chiến_sĩ việt_nam,189
4.0,halam9260 thế hiện mọi lúc mọi nơi đi bạn mình không dám,56
4.0,xuống hà_nội thì khỏi về nhé a bạn,34
1.0,may ong_my hanh quan may bay phao binh cay nat lang xa no moi tu tu len_my no quy con nguoi lam con vn thi sao chi co sung nho không thay sung lon noi chung dan muon hoa binh bac nam cu dem chien tranh noi khi sung no la co nguoi chet gia dinh cha me ho dau don ai cung muon đẹp sung dan di_de dan song an_binh,310
4.0,thanh co la ca tam thuc cua toi len phai noi that,49
4.0,thực_ra những vấn_đề bạn nói thực_tế là không cần phải giải_thích ai cần biết muốn biết thì tốt còn lại đa_phần người dân không cần_thiết phải biết chỉ cần biết là vn thắng là được nó là công_tác tuyên_truyền tuyên_huấn như chỉ_huy trung quốc hứa_thế_hữu kia nói 2 giờ đến hà_nội có thật bản_chất là hắn ta thích nói_khoác hay không hay đó là hành_động tuyên_truyền mị_dân có chủ_đích của giới lãnh_đạo tq nhăm tới các mục_đích chính_trị chính là cái sự_thật thì chỉ cần giới lãnh_đạo tq biết cái mà trong bài đã đề_cập là đặng tiểu_bình_nắm rất rõ còn người dân tq không biết thì tốt hơn,588
2.0,bố cháu cũng lính đánh khe_sanh làng vây chú ơi cháu vẫn hay nghe bố cháu kể chuyện ngày ông đi chiến_đấu những câu_chuyện gần như cháu đã thuộc_lòng mà vẫn thích nghe bố cháu kể không biết liệu rằng ông bố cháu có biết nhau không nhỉ,234
3.0,năm đó bv quân_y 105 thành_lập đội điều_trị 25 để tham_gia chiến_dịch tôi có_mặt là y_sỹ ngoại chấn_thương hành_quân tới quảng_bình thì chiến_dịch kết_thúc quá nhanh đơn_vị đã cùng bv quân_khu 4 thu_dung và điều_trị cho tbinh nghe tin bắt sống đại_tá thọ ai cũng phấn_khởi nay tôi đã là một bà_già u 80 vui cùng con_cháu vẫn tham_gia các hội ccb phụ_nữ vv đời_đời nhớ ơn các anh_hùng liệt_sỹ,391
1.0,bọn mỹ cậy có máy_bay ném bom không thì nó thua lâu rồi chứ không phải mất thời_gian như thế 3 dựa vào hỏa_lực mỹ nhiều quá sau nó không hỗ_trợ nữa coi như phế luôn tích_cực đúng là hổ giấy,189
1.0,nói thật khe_sanh là thành_công cho người mỹ vì họ đã không để xảy ra 1 điện_biên_phủ thứ 2 tướng giáp đã đến động_viên quân_chính_quy bắc_việt và quân_đội bắc việt được viện_trợ nhiều hơn 1954 có cả xe_tăng nữa nhưng những sỹ quan quân bắc_việt đã quá chủ_quan không_quân hùng_mạnh và bom napan đã vô_hiệu_hóa chiến_dịch đào hào vây lấn như ở điện_biên_phủ đã không được lặp lại tôi nghe có thằng bạn đi học hồi cấp 3 nói rằng ông nó tham_gia chiến_trường miền nam năm 68 69 nói quân bắc việt phải rút quân chiến_lược trước và thiệt_hại hơn 80 còn các cuộc tấn_công khác là để chia_lửa cho khe_sanh lịch_sử do bên này bên kia viết ra nhưng với tôi đây là quan_điểm nhìn_nhận và tìm_hiểu theo những điều tôi biết và được nghe và cảm_nhận,737
4.0,văn_hóa truyền_thống của người việt khác với người mỹ người việt có_thể học nền văn mình kỉ thuật của người mỹ chấn hẳn bay lên mặt_trăng rọi trở về mặt_đất an_toàn người việt không học được ở người mỹ cách sx bơm nguyên_tử vác thả giữa thành_phố rồi trở về căn_cứ đi uống cà_phê lạnh_lùng năm 1972 mỹ thả bơm xuống bệnh_viện bạch_mai,334
0.0,các cụ chiến quá crying_face đánh từ từ đừng ô ạt có_lẽ các cụ sẽ ít hy_sinh hơn face_holding_back_tears face_holding_back_tears face_holding_back_tears,152
1.0,ducanhhoang5267 thắng thì chết v đúg r,38
4.0,wtf 1946 pháp thua nhật_ký hiệp_ước rước vào 2 9 tôi đọc lịch_sử của pháp thấy nó có viết như vậy đâu sao nói hay_vậy,117
4.0,có được mấy cái hình phát đi phát lại từ đầu đến cuối nhưng không chán vì chủ_yếu nghe,86
4.0,bác con liệt_sĩ nguyễn cảnh thìn quê_quán khánh_sơn thanh_bình_thanh_chương nghệ_an cũng hi_sinh 15 09 1972 đại_đội 20 e675 mặt_trận phía nam hiện_tại chưa tìm được mộ nơi an_táng ban_đầu là mặt_trận phía nam trạm 73 cũ hoặc trạm 3 nếu đồng_đội của bác hay người_thân liệt_sĩ nào có người cùng đơn_vị có thông_tin xin hoan_hỉ cho gia_đình xin thêm thông_tin với ạ cảm_ơn mọi người sdt zalo của con 0916516826 grinning_face_with_sweat,433
4.0,năm đó tui vác bom đánh b52 bạn nhớ tui chúa,44
4.0,lần sau đọc cho chuân nhé sư 10 320 rut hết quân ve_nam cheo reo sư_đoàn 968 từ lào về và khoản gần 1 đại_đội đặc_công thuộc trung_đoàn đặc_công 198 ơ lại làm nghi_binh nhé,172
3.0,thế_hệ chúng cháu xin cúi đầu cảm_ơn và trân_trọng những hy_sinh mà biết_bao thế_hệ anh_hùng chiến_sỹ đã hy_sinh để mang lại hoà_bình cho thế_hệ chúng cháu bây_giờ,163
2.0,trận chiến này mà dựng thành phim thì oanh_liệt biết_bao tự_hào việt_nam,72
4.0,việt_cộng được tq và nga viện_trợ thêm mĩ rút quân mà không thắng thì vứt,73
2.0,giờ em campuchia cũng đang bị thái chiến kìa ae,47
1.0,quân tàu qua sông suối bị điện giật do bên mình cài chết rất nhiều bên mình cũng ít nói về các sự_kiện này vì lý_do hoa bình chính_trị,134
4.0,laypu5513 ối giồi có thằng còn bị bắn vào đầu trên m113 giờ xanh_cỏ không ai thèm đến kia kìa smirking_face,107
1.0,phiaka880 mày ngáo à bố của tao sn 1942 năm nay 82 tuổi nhưng chơi facebook và zalo còn nhiều hơn tao,101
4.0,nhin nam la daf fhang long nghin nam la dat anh hung xin ra khi den fhi re khi ve không co duong ve_dau hang fhi song chong lai_di_ve_taij fhien nui rung viet bac chung foi faij fhien rat san don cho cac ong,207
1.0,nguyentronghien9360 you thành homeless bên mẽo giống ai đồ trương quốc_huy của you chưa cali con face_with_tears_of_joy face_with_tears_of_joy,142
4.0,xét về người lính việt dia trẻn đất mỹ vè lính mỹ die trên đất việt số nào lớn bên nèo tốn hơn bên nào phải ký 1 hiêp định phi đối_xứng còn mày nói tv mà mày tính_mạng người việt để phân thắng thua à vậy mày phải tính hết mạng của đám dog săn lính đánh_thuê các bên vào nữa mỹ đèn 1 mạng lính đánh_thuê_bao_nhiêu thì lấy tổng_số tiền mỹ chi cho chiến_tranh vn chia ra để tính số người xem bên nào nhiều hơn bên nào,414
0.0,quân giải pho ng hơn 1 tháng không có tiếp_tế thì đạn đâu mà bắn,64
4.0,chuẩn_quân mình dồn hết về cpc,30
1.0,maycung3274 mĩ nó bỏ một đống tiền lập nên khe sanh rồi phải bỏ chạy vì sợ mày tìm hồi_ký tướng mĩ đọc đi thằng không cha,121
0.0,nhà mình còn nghèo nếu yêu nước thi fai phấn dấu lo động nao người chế_độ cũ ở lại lao_động xây_dựng đấy nước kể_cả nhiều người đi kinh_tế mới giờ giầu_sụ sao đâu không chịu làm không chịu khổ quen ăn sẵn tiền viện_trợ mỹ tự bỏ tổ_quốc ra đi giơ kêu gì,252
4.0,kkpkmkkkk_k k ll lọ ko ọ mon kkpkmkkkk on ộlon ôp lkjooonkkoj kkpkmkkkk nl gì oli,81
4.0,că t chân_bă ng gi ma că t xong chiên đâu tiêp kkkkkk tê u nga o giang_hô,73
1.0,thấy ông chú bên cạnh nhà nói việt nam cắm điện xuống sông,58
1.0,nó là vnch thì bạn thờ nó đi,28
4.0,bố mình hành quan tu bắc 6 tháng mới vào tới mn,47
3.0,rất cảm_ơn team cho những thước phim hay con_người vn anh_hùng lắm,66
4.0,pirot không nghĩ tới quân ta không đặt pháo gom 1 chỗ mà phân_tán ra nhiều chỗ,78
1.0,đây là loạt bài nhằm cổ suý các thế_hệ trẻ nên lập lại chiến_tích thần_kỳ như đã gom biết_bao của_cải đã cướp được của miền nam vn từ năm 1975 và của khơ_me vào 1977 1978 miền bắc của chúng_ta lúc ấy còn nghèo mạt chưa bao_giờ thấy và biết được thế_nào là đời_sống văn_minh nhờ các cuộc_chiến này con_cháu đảng mới có được như ngày_nay,335
4.0,họ mang tư_tưởng phòng_thủ quá tiêu_cực chính những chiến quả của vecdong của nà_sản đã hại họ,94
2.0,thái_lan mà nhầm nhòa gì pháp còn khóc ngất nửa là,50
4.0,tiepak xin_lỗi tôi bị nhầm một_chút ông thông_cảm cho,53
3.0,ad mà làm video các trận đánh như này bằng tiếng anh thì tuyệt,62
4.0,nhà tưởng_niệm của ông ở 36 đường lý_nam_đế hà_nội_giản_dị lắm,62
4.0,hậu_lực đu càng đâu rồi,23
0.0,tran nay co le la tran thuong vong nang nhat,44
2.0,bjio còn nói nữa quân_đội trung quốc sau 1979 thì đã hiểu rõ tại_sao tổ_tiên cửu huyền thất_tổ của họ luôn thất_bại trước việt nam sau cuộc_chiến 1979 thì đa_số quân trung quốc đều thần_kinh bấn_loạn đái ra quần khi nhắc lại cuộc_chiến đó grinning_face_with_sweat crying_face face_with_tears_of_joy red_heart,308
3.0,con cảm_ơn bác ạ tích_cực,25
4.0,thuabochoconnoi9142 bạn nghĩ thế à rất nhiều người trên 70 vẫn sử_dụng điện_thoại thông_minh như_thường trong hội ccb đơn_vị tôi chiếm hơn một nửa đó bạn,153
1.0,quá dã_man đủ mọi thứ vũ_khí hủy_diệt nhưng không bao_giờ diệt được lòng yêu nước của người việt_nam thế_hệ con_cháu hãy nghe mà học theo thế_hệ cha_ông yêu nước giữ nước vì từng tấc đất đã thấm máu cha_ông từ bao thế_hệ,220
4.0,luongnguyenminh6306 việt cộng giờ cũng thế hihi,47
2.0,lịch_sử vn thế này nên cho vào môn_học lịch_sử,46
2.0,longnguyen pq4ev vì nước còn khoa khăn nên phải nhẫn_nhịn để đổi lấy hoà_bình nhưng giờ nghĩ_lại lúc đó mình vẫn bắn thì trung quốc cũng không dám quay lại đâu có_chăng là thêm thù_hận và o_ép kinh_tế thôi,205
1.0,maycung3274 đánh_gần pháo không hỗ_trợ gì được đâu chỉ có hỏa_lực cá_nhân m79 cối chỉ có b 52 f là gây thiệt_hại cho việt công nhiều thôi nói gì thì cũng phải khách_quan chứ chẳng ai bao_vây lại tập_trung 1 chỗ cho máy_bay ném bom hết đến bây_giờ mà vẫn ảo cố_chấp_thế,268
4.0,cyclone tornado cyclone tornado high_voltage wind_face cyclone rainbow last_quarter_moon_face cloud_with_lightning cloud_with_rain high_voltage umbrella_with_rain_drops droplet cyclone wind_face water_wave cyclone milky_way shooting_star,237
2.0,trc bố cháu cũng là lính pháo cao_xạ tham_gia trận khe sanh này,63
3.0,cảm_ơn ad hay quá clapping_hands clapping_hands clapping_hands thumbs_up,72
4.0,vietnam desktop_computer xin công_khai tất_cả vietnam desktop_computer telephone_receiver,89
0.0,ông chú_mình được đơn_vị cho về phép và phong anh_hùng nhưng ông không về mà ở lại đánh ở quảng_trị rồi hi_sinh năm 1967 vì hết đạn bị ngụy_đâm bây_giờ giấy_tờ của ông bị lũ cuốn trôi hết không còn gì trong chương_trình chuyện đêm khuya lúc trước có nhắc tới ông ông hi_sinh khi mới 24 tuổi,290
3.0,người dân quảng_trị luôn ghi_nhớ công_ơn các chiến_sĩ anh_hùng các cô các chị các o đã chiến_đấu oanh_liệt nhất để đánh_đuổi bọn bán_nước và cướp nước,150
4.0,lịch_sử phải chính_xác các bạn trẻ ơi theo thống_kê của việt_nam mình số_lượng hy_sinh của bộ_đội gấp 10 lần lính mỹ nên các bạn trẻ đưa cả thiệt_hại chính_xác của quân mình thì hay hơn,185
4.0,nhà_nước nên truy_tặng huân_chương cho siêu điệp_viên nguyễn văn_thiệu,70
2.0,ông tôi cũng vậy thầy_giáo lính pháo_binh tiêu_cực,50
2.0,trong lịch_sử thái_lan 5 lần đem quân xâm_lược đại_việt có lần là dùng liên_quân thái cam lào và có lần có cả quân nguyễn ánh dẫn đường nhưng kết_quả đều như nhau đều bị đại_việt đánh cho tan_tác,195
2.0,việt_nam lúc ấy tầm nhìn đỉnh chứ không_vận_mệnh đất nc bị các nc lớn sắp_xếp rồi,81
4.0,ducanhhoang5267 mình thấy cũng lạ những người sinh năm 1954 1955 thấy ít,72
3.0,toiyeuvietnam472 cuốn sách viết về nhà điệp_báo tống_văn_trinh tôi cũng vinh_hạnh được tặng tích_cực,100
4.0,nghe noi tran mau than vc thua to ma,36
1.0,thằng tổng_thống mỹ này là kẻ_thù của dân_tộc việt_nam,54
1.0,sao không bắt nữ dân_quân lahi nhỡ grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat,109
0.0,trung_quốc dạy cho việt_nam bài_học cảnh_giác ông bạn phương bắc xấu_bụng,73
2.0,13 14 bố mình đội phó phân_đội 2 đoàn đặc_công nước 126 trước chiến_dịch được giao nhiệm_vụ đánh cầu đông_hà về quê tướng giáp ở quảng_bình tập_luyện 3 tháng trời nhưng sau đó trên lại không cho đánh cầu nữa vì yêu_cầu mặt_trận không cần_thiết nữa trận này cấp trên treo thưởng huân_chương quân_công cho nhiệm_vụ này và không phải ai cũng dám nhận và được giao vì đánh cầu_cảng cực khó nghe ông kể mà tưởng_tượng mức_độ canh_phòng cẩn_mật của tụi mỹ ngụy_lúc_nào trên cầu cũng có 1 đại_đội canh_gác luân_phiên nhau liên_tục ngày_đêm chưa kể bảo_an dân_vệ ở dưới sông dọc theo hai bờ là những dãy lưới dây thép_gai hàng_rào tưởng_tượng giống như 1 cái đó để bắt cá vậy vào là không có đường ra hai bên bờ là lô_cốt chòi gác bọn nó bắn bất_cứ thứ gì khả_nghi cứ 1 lúc lại ném lựu_đạn xuống sông để chống đặc_công xâm_nhập ban_đêm đèn sáng_trưng pháo_sáng đèn_pha soi rõ từng ngọn cỏ chưa kể là nó nằm sâu trong vùng địch để đến được đây và mang theo khối_lượng chất_nổ lớn phải vượt qua rất nhiều nguy_hiểm chiến_dịch đường 9 nam lào phải nói thắng lớn đoàn đặc_công nước lập_công liên_tục đánh rất nhiều cảng cầu diệt kho_tàng bến cảng biển tiếp_tế của địch đánh chìm rất nhiều tàu cửa tùng cửa việt_đông_hà những cái tên quá_đỗi thân_quen,1238
2.0,vietnam vietnam vietnam thumbs_up red_heart,43
2.0,vào thời_kỳ đó trung_quốc còn đói_rách hơn việt_nam,51
3.0,tôi chưa được thắp một nén hương cho các anh là tôi còn hổ_thẹn và thiệt_thòi,77
4.0,vn ta thật là anh_hùng,22
3.0,nampanda3674 trung_quốc không muốn chiếm đất mà muốn hạ_bệ nền kinh_tế việt_nam và liên_xô cuối_cùng liên_xô tan_rã kinh_tế việt_nam sụp_đổ trung_quốc và mỹ trở_thành bạn tốt kết_quả tuyệt_vời,192
2.0,quan_trọng là cái tên của bác được gắn lên 2 cung đường lớn tại hà_nội di_sản là vậy b à,88
2.0,chịu ông tq nó còn chả bao_giờ coi vn là đối_thủ cái mục_đích nó tấn_công vn là cho mỹ thấy nó đã hoàn_toàn đối_đầu với lx mỹ vào giúp tao đi hợ trợ kinh_tế để tao chiến_đấu với lx đấy mới là mục_đích chính vì nó biết có chiếm được hn cũng sẽ sa_lầy vào 1 cuộc_chiến vài chục năm tiếp_theo không ngóc đầu lên đc và tq cũng không có cửa gì để tới hn cả từ lạng_sơn tới bắc_giang còn vài chục km đường núi với 2 bên toàn những núi đá địa_hình kiểu này thì tq có tiến xuống cũng nướng quân thôi,491
3.0,hoangcongminh3803 bậy nào trưởng cũng kêu_gào tử thủ huế đà_nẵng còn thiệu thì to mõm hơn,89
3.0,coi mà khóc thật_sự rất biết_ơn những chiến_công của ông_cha ta red_heart red_heart red_heart,93
3.0,an rua5847 ừ hứ sao hả 3 que cay,32
1.0,pháp thua vì không chịu_khó_chịu khổ bằng con_người vn sự dẻo_dai trong chiến_đấu thì sao gan_góc và lì đòn bằng con_người vn hahaha,132
3.0,like rose rose rose clapping_hands clapping_hands clapping_hands clapping_hands,79
4.0,nhìn trong ảnh có 5 anh bộ_đội vai đeo ba_lô lá ngụy_trang vai mang vũ_khí nhìn ảnh các anh đang hành_quân ra trận mà thấy lòng dâng dâng tình_yêu chiến_sỹ vô_cùng đến nay năm 2023 không biết trong ảnh đó các anh ai còn ai mất xin gửi lời tới các anh tình_cảm của người con đất việt biết_ơn các anh nhiều,304
3.0,tướng tây dưới đất chung lên tướng việt_nam từ trên trời xuống làm_sao so_sánh được với ta,90
1.0,tại_sao chủ kênh lại cứ kai quảng_cáo phét lac lừa_đảo vào,58
0.0,bác mình mất trong trận xuân_lộc năm 75 crying_face crying_face chiến_tranh thật ác_liệt chỉ mong hoà_bình mãi_mãi thôi,119
3.0,quephuonglan9480 thời_kì nào cũng có những mặt tối trong chính_quyền nhưng nếu ngày đấy không giải_phóng thì giờ đất_nước sẽ đi về đâu tích_cực đừng nói đáng hay không đáng độc_lập là vô_giá,190
3.0,xem xong video mà xúc_động quá trời luôn ad ơi em chỉ biết nói cảm_ơn ad rất rất nhiều ヾ ノ,90
0.0,không chê t la ngon rô i đo,27
1.0,crying_face bac viet mat gan 20 000 quan o khe_sanh khe_sanh la that bai cho ca my va bac_viet,94
3.0,nhà tình_báo phạm ngọc thảo át chủ_bài và cuộc khuynh_đảo chính_trường vnch https youtu be k_un1nx8uv8,102
1.0,xin gửi đến các ace các bạn các cộng_sự các cháu một ngày tốt_đẹp nhất chúc mọi nhà luôn được mạnh_khỏe hp an_khang và thịnh_vượng chúc mọi nhà sẽ luôn được buôn_bán làm_ăn luôn được phát_tài sai lộc các nghành nghề chăn_nuôi luôn được phát_triển thuận_lợi không dịch_bệnh và luôn dfc giá cao,292
2.0,khu năm chỉ 2 trung_đoàn và khoảng bạn dân_công mà đánh giải_phóng cả kumtum một phần gia_lai_buôn_mê thuộc tiêu_diệt hơn 5000 tên trg đó 1 binh_đoàn 100 binh_đoàn 42 pháp có cụm,178
3.0,bon pap nay no cung ac,22
2.0,xem theo dấu giày sô để nhìn_nhận trận này bên phía vnch để có cái nhìn khách_quan về 2 bên,91
4.0,cái cách cố_vấn mỹ chỉ_huy chiến_dịch hệt như cách họ chỉ_huy quân ukr phản_công mấy chục năm sau vậy,101
