"Fixed_Comment","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"kế_hoạch thay máu quân_đội nhằm hiện_đại_hóa quân_sự TQ của bác Bình_già nhé còn giờ là thời_đại tên_lửa đạn_đạo và UAV bên ngồi nhà bấm nút còn bên phát_hiện đánh chặn bây_giờ mà cho 2 bên combo lại thì hên xui nhé thằng nào công_nghệ mạnh thằng đấy chiếm lợi_thế nhé",13,"1","2024-12-09T14:02:39.799067Z",11,7.429,"Neutral","2024-12-09T14:02:39.799067Z"
"Mĩ chắc chán lắm chứ chả đùa",14,"1","2024-12-09T14:06:09.305608Z",12,208.372,"Proud","2024-12-09T14:06:09.305608Z"
"Bác hồ là một vị thần nên chọn bác giáp là một vị tướng lẫy_lừng thế_giới",15,"1","2024-12-09T14:06:23.307796Z",13,11.421,"Proud","2024-12-09T14:06:23.307796Z"
"Chưa có cuộc chiến_tranh nào ác_liệt như chiến_tranh chống mỹ ở miền nam việt nam Một cuộc chiến_tranh lắm bom nhiều đạn Lấy máy_bay b52 máy_bay phản_lực Pháo lớn và nhiều sinh_lực tạo nên một trận chiến vô_cùng ác_liệt gây ra cái chết rất nhiều cho cả hai phía Những người đã từng trực_tiếp tham_gia chiến_tranh chống mỹ đây là một kỷ_niệm mà không bao_giờ có được",16,"1","2024-12-09T14:06:41.508416Z",14,13.779,"Sad","2024-12-09T14:06:41.508416Z"
"Thế mới nói Người thắng làm Vua Kẻ thua làm Cẩu",17,"1","2024-12-09T14:06:48.426616Z",15,6.342,"Neutral","2024-12-09T14:06:48.426616Z"
"nguyenxuanhai869 tôi muốn nói sư_đoàn 320 đoàn Đồng_bằng là một trong 6 sư_đoàn bb đầu_tiên của QĐNDVN giờ là sư_đoàn 390 trong đội_hình QĐ1 đóng tại Thanh_Hóa_Bạn nói sư 390 đóng ở Gia_Lai là sai",18,"1","2024-12-09T14:06:54.209129Z",16,5.274,"Neutral","2024-12-09T14:06:54.209129Z"
"quân mình chết cũng không ít đâu",19,"1","2024-12-09T14:06:58.390276Z",17,3.662,"Sad","2024-12-09T14:06:58.390276Z"
"sgblk9661 lại bài ca về tự_do dân_chủ à xin_lỗi bạn nhưng bài này muốn hát thì sang Mỹ mà hát còn ở VN thì người_ta hát Như có Bác Hồ trong ngày vui đại_thắng",20,"1","2024-12-09T14:07:11.491950Z",18,12.627,"Thankful","2024-12-09T14:07:11.491950Z"
"Xạo mà đánh tụi mày ra bã thì tao nguyện cũng xạo",21,"1","2024-12-09T14:07:20.372535Z",19,8.007,"Neutral","2024-12-09T14:07:20.372535Z"
"为啥你会觉得会赢 只因为有经验 战争要赢还要很多因素 比如越南一直在打战没钱 越南土地人口相比较小 后勤差",22,"1","2024-12-09T14:07:25.774594Z",20,4.897,"Neutral","2024-12-09T14:07:25.774594Z"
"thaihoangnguyen7479 khả_năng vậy lúc chớm bị tq đánh là vn rút hết quân tinh_nhuệ về lên linh đánh polpot được bổ_sung la lính mới thiếu kinh_nghiệm nên khi thọc_sâu vao đất cam bị thương_vong nhiều",23,"1","2024-12-09T14:07:32.814243Z",21,6.52,"Sad","2024-12-09T14:07:32.814243Z"
"Ý trời mĩ mạnh đến đâu thì cũng không bằng trời được",24,"1","2024-12-09T14:07:38.264806Z",22,4.966,"Proud","2024-12-09T14:07:38.264806Z"
"ngandoan1146 đồng_cảm với nhân xét của ban Nên dùng CHÂN TRẦN TRÍ THÉP DÒNG MÁU BẤT_KHUẤT",25,"1","2024-12-09T14:07:43.489670Z",23,4.727,"Proud","2024-12-09T14:07:43.489670Z"
"hoangoc xj8cv nói_chung là mình đánh 2 chỗ thắng 1 chỗ là ổn rồi",26,"1","2024-12-09T14:07:50.800962Z",24,6.803,"Neutral","2024-12-09T14:07:50.800962Z"
"Sông Thạch_Hãn và Thành Cổ Quảng_Trị Tôi sẽ đến một ngày gần nhất Tôi ước_mơ thật_sự",27,"1","2024-12-09T14:08:47.250644Z",25,55.898,"Thankful","2024-12-09T14:08:47.250644Z"
"Bài đăng của nhà_báo thật chính_xác",28,"1","2024-12-09T14:10:53.426726Z",26,125.756,"Neutral","2024-12-09T14:10:53.426726Z"
"Bạn ơi dù ông của bạn có nằm_xuống nơi đâu thì cũng là trên đất quê_hương mình đó cũng niềm tự_hào Những kẻ bán_nước lưu_vong qua Mỹ và nằm_xuống ở đó mới ô_nhục",29,"1","2024-12-09T14:10:59.796144Z",27,5.939,"Proud","2024-12-09T14:10:59.796144Z"
"Thâu đi cha xem video phim tài_liệu nước_ngoài đi ông B52 rải_thảm thì có dùng biển ngừ cũng không làm được gì đâu chết biết_bao_nhiêu mà kể",30,"1","2024-12-09T14:11:21.456853Z",28,21.219,"Sad","2024-12-09T14:11:21.456853Z"
"Trong Chiến_Dịch này Đảng_Ta đã phải hy_sinh ít_nhất 50 ngàn bộ_đội VỊ THÀNH_NIÊN Tất_cả các binh_trạm bệnh_xá dã_chiến kho đạn kho lương_thực của ta đều bị thiêu_huỷ Ngoài_ra còn có một_số Đồng_Chí cấp Tướng của bậc thầy Tr_Quốc cũng mất xác về tay Nguỵ Đó là một mất_mát lớn_lao cho Đảng_Ta và Đồng_Chí TQ",31,"1","2024-12-09T14:11:28.360878Z",29,6.525,"Thankful","2024-12-09T14:11:28.360878Z"
"tuananhthichangaran3543 Ý nó là kiểu đi học bảo mấy thằng bắt_nạt là anh ơi đừng đấm em là mấy thằng kia nó tha cho Đời mà dễ thế_thì đã ngon",32,"1","2024-12-09T14:11:59.838484Z",30,31.044,"Neutral","2024-12-09T14:11:59.838484Z"
"chillllinggg2829 đã không biết thì hay nói bừa quân_đội mất hơn triệu thôi bố ạ gg không tính phí đâu bó_tay",33,"1","2024-12-09T14:12:06.372028Z",31,6.041,"Neutral","2024-12-09T14:12:06.372028Z"
"Tôi yêu thế_hệ cha ô đã hy_sinh vì tq Tôi yêu đất_nước này",34,"1","2024-12-09T14:12:56.757757Z",32,50.003,"Proud","2024-12-09T14:12:56.757757Z"
"nguyenduyen1262 Cảm_ơn bạn nhiều nhé",35,"1","2024-12-09T14:13:02.381539Z",33,5.207,"Thankful","2024-12-09T14:13:02.382549Z"
"Tất_cả quân giải_phóng nổ địa_điểm",36,"1","2024-12-09T14:13:11.243001Z",34,8.561,"Proud","2024-12-09T14:13:11.243001Z"
"Cậu tôi là bộ_đội đặc_công cũng hi_sinh ở quảng_trị",37,"1","2024-12-09T14:13:16.620588Z",35,5.074,"Thankful","2024-12-09T14:13:16.620588Z"
"Chúng_tôi sẽ bước tiếp con đường của cha_ông sẵn_sàng lên_tiếng khi tổ_quốc cần",38,"1","2024-12-09T14:13:29.634546Z",36,12.712,"Proud","2024-12-09T14:13:29.634546Z"
"Bác Hồ bác Giáp và thế_hệ tiền_bối cách_mạng tháng 8 thực_sự là những tinh_hoa của dân_tộc ta",39,"1","2024-12-09T14:14:10.768442Z",37,40.596,"Proud","2024-12-09T14:14:10.768442Z"
"Xin_lỗi cho mình hỏi bạn đã đọc quyển Người_tình_báo thầm_lặng hay bạn quen_biết với ông Tống_Văn_Trinh mà hiểu rành_vậy",40,"1","2024-12-09T14:14:15.647520Z",38,4.588,"Neutral","2024-12-09T14:14:15.647520Z"
"bộ phim Mùi Cỏ Cháy đã nói lên trận 81 ngày_đêm bảo_vệ thành cổ Quảng_Trị",41,"1","2024-12-09T14:14:19.761367Z",39,3.833,"Proud","2024-12-09T14:14:19.761367Z"
"Video rất chất_lượng Cám_ơn admin ông_cha ta quá dũng_cảm và mưu_lược Cám_ơn vì tất_cả",42,"1","2024-12-09T14:14:24.010683Z",40,3.969,"Thankful","2024-12-09T14:14:24.010683Z"
"Có đến được Hà_Nội cũng giống như sầm ghi đống treo_cổ thôi tích_cực Chẳng_nhẽ VN để ngủ ở Hà_Nội_yên à",43,"1","2024-12-09T14:14:32.598091Z",41,8.268,"Neutral","2024-12-09T14:14:32.598091Z"
"Lịch_sử chiến_tranh của nước ta quá anh_hùng vẻ_vang Được như ngày hôm_nay phải đánh_đổi biết_bao xương_máu hi_sinh mới có hòa bình độc_lập Bộ giáo_dục nên cho vào chương_trình lịch_sử cùng clip minh chứng thì hs sẽ vui_vẻ hăng_say trong học_tập hơn Biết rằng khép lại quá_khứ nhưng chúng_ta không cho phép quên lịch_sử Thế_hệ bây_giờ không cẩn_thận sẽ bị lợi_dụng thao_túng tâm_lí mà quên đi mình là dân máu đỏ da vàng",44,"1","2024-12-09T14:14:53.022421Z",42,20.072,"Proud","2024-12-09T14:14:53.022421Z"
"ducnguyen6440 xin hay bằng anh thiệu trước khi đọc điếu_văn từ_chức không Miền Nam hồi đó giàu hả cho nói lại đó Chúng_tao mua hẳn_hoi nhé con_trai nếu còn lòng tự_trọng thì bảo dân tự nhục chúng_mày đưa trả tiền cs số tiền chúng_mày nợ mỹ nghe con",45,"1","2024-12-09T14:15:06.520034Z",43,12.397,"Angry","2024-12-09T14:15:06.520034Z"
"Dồn quan vào một chỗ rồi ta lấy BM21 ra nướng là vừa đẹp face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",46,"1","2024-12-09T14:15:18.545655Z",44,11.735,"Proud","2024-12-09T14:15:18.545655Z"
"Mình nhớ trận đầu_tiên xe_tăng tham_chiến là trận Làng Vây một trong những trận đánh của chiến_dịch Đường 9 Khe_Đánh mới đúng chứ",47,"1","2024-12-09T14:15:26.180202Z",45,7.337,"Neutral","2024-12-09T14:15:26.180202Z"
"trận này nghiêng về chiến_thuật nhiều hơn là chiến_lược bên nào cũng quyết_tâm chiếm lợi_thế trên chiến_trường để chiếm thế thượng_phong trên bàn đàm_phán ở Paris và bây_giờ hơn 40 năm đất_nước im tiếng súng tôi với tư_cách 1 ng trẻ nghe về lịch_sử dân_tộc tôi vẫn biết_ơn tự_hào về những người đã nằm_xuống vì đất_nước này nhưng cũng chưa bao_giờ hận_thù những người bên kia chiến_tuyến họ cũng gánh chụi hậu_quả của chiến_tranh đau_thương mất_mát cùng là người việt với nhau máu đỏ da vàng nói tiếng việt cũng cũng có ng mất đi vì cuộc_chiến khóc liệt này nên chưa bao_giờ chửi họ là đồ 3 que hay đu càng gì cả vì thời_điểm này theo cá_nhân tôi nó khỗng còn phù_hợp nữa trừ cái đám phản_động chống_phá đất_nước thì cũng còn những ng buông bỏ hận_thù quya về cùng nhau xây_dựng đất_nước đoàn_kết chống ngoại_xâm mới TQ nên tôi nghĩ nhưng kênh như thế này rất hay nhưng tôi cũng mong đừng quá gay_gắt về họ để những ng trẻ bớt đi kỳ thi hay thù_hận về họ rồi mình còn hàn_gắn hận_thù quá_khứ đã lùi xa con_người ai cũng có sai_lầm chả nhẽ chúng_ta cử mãi nói vể cái sai trong quá_khứ còn tai lai nữa không phải việc này có_thể làm từ 1 phía mà cả 2 phía cùng đồng_lòng nếu mình thiện_chí thì mình có_thể chia_tay ra trước cũng không sao cả vì tương_lai đất_nước thôi nhiều khi thấy người việt mình cũng ngộ 1000 năm thằng khựa đô_hộ hơn 80 năm Pháp thuộc 20 năm Mỹ xâm_lược mà ngày_nay mình bình_hóa quan_hệ mà người việt với người việt sao hơn 40 năm vẫn chưa tìm ra tiếng nói_chung cám_ơn",48,"1","2024-12-09T14:15:30.664006Z",46,4.21,"Neutral","2024-12-09T14:15:30.664006Z"
"maycung3274 chiến_tranh luôn có biến Thất_thế nhưng giành lại được chiến_thắng thì có_thể gọi là ứng_biến tốt Nói_chung thua là thua",49,"1","2024-12-09T14:15:58.303719Z",47,27.37,"Neutral","2024-12-09T14:15:58.303719Z"
"Mình cũng nghe các người già kể đánh khe sanh là trận ác_liệt nhất",50,"1","2024-12-09T14:16:03.941588Z",48,5.358,"Proud","2024-12-09T14:16:03.941588Z"
"Ông chú_mình được đơn_vị cho về phép và phong anh_hùng nhưng ông không về mà ở lại đánh ở Quảng_Trị rồi hi_sinh năm 1967 vì hết đạn bị Ngụy_đâm Bây_giờ giấy_tờ của ông bị lũ cuốn trôi hết không còn gì Trong chương_trình chuyện đêm khuya lúc trước có nhắc tới ông Ông hi_sinh khi mới 24 tuổi",51,"1","2024-12-09T14:16:10.291447Z",49,6.084,"Sad","2024-12-09T14:16:10.291447Z"
"Lịch_sử việt nam thì khỏi nói ai cũng biết từ thời Hùng Vương đến giờ có trận nào thua đâu toàn bách chiến bách thắng",52,"1","2024-12-09T14:16:14.336322Z",50,3.77,"Proud","2024-12-09T14:16:14.336322Z"
"Đoàn_kết và quyết_tâm và sự chỉ_huy suất sắc của các chiến tướng quân giải_phóng đã làm cho chiến_thắng đến nhanh hơn hoà_bình thống_nhất đến nhanh hơn Trên tất_cả độc_lập tự_do thống_nhất đất_nước là mục_tiêu tối_thượng Và các chiến_sỹ của chúng_ta đã làm được Tôi luôn biết_ơn các chiến_sỹ thời đó đã cho chúng_tôi có 1 Việt_Nam thống_nhất",53,"1","2024-12-09T14:16:19.174007Z",51,4.562,"Thankful","2024-12-09T14:16:19.174007Z"
"nguyentthanhvinh2843 bạn ơi cho mình biết liệt_sỹ tên gì được không ạ",54,"1","2024-12-09T14:16:22.983862Z",52,3.536,"Neutral","2024-12-09T14:16:22.983862Z"
"Cậu của cháu cũng sinh năm 1949 theo cháu biết thì cậu từng đánh trận ở sân_bay tà_cơn nằm lại ở chiến_trường bình định nhưng gia_đình vẫn chưa tìm được hài_cốt của cậu",55,"1","2024-12-09T14:16:28.436873Z",53,5.182,"Sad","2024-12-09T14:16:28.436873Z"
"LoiNguyen lv5er đang nói về giới trí_thức nha ku Ờ mà csvn thắng ai Thắng trước hiệp_định paris ký năm 1973 hay sau đó vậy ku sẵn tiện hỏi lun là ba của ku không có que hở sao lại tức_tối với que của ba người_ta vậy hở kkkk",56,"1","2024-12-09T14:16:37.571233Z",54,8.855,"Neutral","2024-12-09T14:16:37.571233Z"
"Con cảm_ơn bác nhiều ạ chúc bác luôn khoẻ_mạnh ạ",57,"1","2024-12-09T14:16:45.088446Z",55,7.223,"Thankful","2024-12-09T14:16:45.088446Z"
"Ông mình kể lại trận khe sanh là mỹ cứ nem bom chỗ nào là nằm_xuống hố bom đó nằm bao an_toàn",58,"1","2024-12-09T14:16:58.017813Z",56,12.644,"Neutral","2024-12-09T14:16:58.017813Z"
"Cha mình tham_gia chiến_dịch tây nguyên giải_phóng buôn mê Thuột Và chiến_dịch hồ chí minh",59,"1","2024-12-09T14:17:01.768571Z",57,3.482,"Neutral","2024-12-09T14:17:01.768571Z"
"Việt_Nam thời nào đó mở lãnh_thổ rộng lắm chiến_tranh quá bị 1k năm đô_hộ nên giờ nhỏ_xíu Qua thời vua nào đó chiếm chasam là miền tây mình",60,"1","2024-12-09T14:17:07.794877Z",58,5.739,"Neutral","2024-12-09T14:17:07.794877Z"
"sangtruong571 đúng gọi là quân tình_nguyện pha thét lào đó",61,"1","2024-12-09T14:17:15.441924Z",59,7.379,"Thankful","2024-12-09T14:17:15.441924Z"
"0 20 nắm_bắt được nguyện_vọng này nghe cảm_động ghê",62,"1","2024-12-09T14:17:22.027888Z",60,6.317,"Happy","2024-12-09T14:17:22.027888Z"
"chức lếu lều vợ sếp",63,"1","2024-12-09T14:17:25.278772Z",61,2.976,"Neutral","2024-12-09T14:17:25.278772Z"
"Thua trận khe sanh năm 1968 mình thua trên toàn mặt_trận bác Hồ ốm nặng thêm bộ chính_trị muốn giải_phóng năm 68 Mình được lợi đàm_phán thôi",64,"1","2024-12-09T14:17:30.433134Z",62,4.852,"Neutral","2024-12-09T14:17:30.433134Z"
"Dân trung quốc có xem được ko chứ vn thì biết lâu rồi các bạn có cách nào cho họ biết không",65,"1","2024-12-09T14:17:33.775673Z",63,3.058,"Neutral","2024-12-09T14:17:33.775673Z"
"ông bác họ tôi lính Pháo_binh đánh vào Sân_bay Tân_Sơn Nhất Sau ông ý đẻ được 3 người con 1 gái đầu_lòng 2 trai sau đặt tên lần_lượt là Tân_Sơn_Nhất",66,"1","2024-12-09T14:17:46.911020Z",64,12.871,"Proud","2024-12-09T14:17:46.911020Z"
"Xong trận này mình có vài sư_đoàn bị xoá_sổ tui nghe sư_đoàn 324b chết hết",67,"1","2024-12-09T14:17:50.910375Z",65,3.725,"Sad","2024-12-09T14:17:50.910375Z"
"dinhvu2084 Vậy những ai còn sống là không dũng_cảm_sao e Nên suy_nghĩ kỹ trước khi gõ phím e nhé mang tội lớn với những người đã xả_thân vì nước đấy",68,"1","2024-12-09T14:17:59.995638Z",66,8.812,"Neutral","2024-12-09T14:17:59.995638Z"
"Từ năm sau cứ gần đến ngày 17 2 nhà_nước nên mở giải đua xe có chiều dài từ Lạng_Sơn đến Hà_Nội sau đó công_bố thời_gian đua cho Trung Của nó biết",69,"1","2024-12-09T14:18:13.335060Z",67,13.074,"Neutral","2024-12-09T14:18:13.335060Z"
"21 ngày_đêm anh_dũng chống giặc à quên chống dịch đã giúp mình hiểu thêm rất nhiều về lịch_sử VN Cảm_ơn những ng lính bộ_đội Cụ Hồ anh_hùng",70,"1","2024-12-09T14:18:17.454466Z",68,3.836,"Proud","2024-12-09T14:18:17.454466Z"
"Câu không cần quân_chính_quy sai quá",71,"1","2024-12-09T14:18:22.287800Z",69,4.557,"Neutral","2024-12-09T14:18:22.287800Z"
"Thiệu rút Dù vì sợ đảo_chính đến tầm này còn cố giữ_ghế lợn thật",72,"1","2024-12-09T14:19:30.189207Z",70,67.63,"Angry","2024-12-09T14:19:30.189207Z"
"Lại tự sục nó tổn_thất thì như kiến cắn",73,"1","2024-12-09T14:19:37.212041Z",71,6.752,"Neutral","2024-12-09T14:19:37.212041Z"
"Thơ i VNCH Trung_Quô c hiê u nhau ma sống Chứ chơ n Vớt Bơ n nó liê n chớ⁹",74,"1","2024-12-09T14:20:21.745642Z",72,44.239,"Neutral","2024-12-09T14:20:21.745642Z"
"cảm_ơn anh đã làm video này cho chúng emmmm",75,"1","2024-12-09T14:20:46.061889Z",73,24.034,"Thankful","2024-12-09T14:20:46.061889Z"
"nguyentronghien9360 thế không lôi sử vào nói thì vấn_đề bạn muốn tranh_cãi là gì Thái_độ của VN với TQ bây_giờ là hợp_tác phát_triển nhưng vẫn cảnh_giác cao_độ Vẫn nhập hàng TQ về bán và TQ vẫn nhập hàng VN về bán Nhưng chủ_quyền là chủ_quyền tinh_thần chiến_đấu luôn sẵn_sàng Tôi không hiểu b muốn truyền_đạt điều gì Lịch_sử ghi_chép lại bao đời bạn có dẫn_chứng gì để phản_bác hay chứng_minh đó là sai không Bọn tôi nên tin bạn một người không có lí_lẽ dẫn_chứng gì hay tin vào lịch_sử tin vào sự hy_sinh của bao thế_hệ ông_cha",76,"1","2024-12-09T14:20:53.382565Z",74,9.862,"Neutral","2024-12-09T14:21:08.668675Z"
"Đời_đời nhớ ơn những con_người vĩ_đại làm_nên LS Giới trẻ ngày_nay phải sống sao cho đáng sống không phụ cha_ông đổ_máu để có cuộc_sống an bình ngày_nay Tổ_quốc ghi công",77,"1","2024-12-09T14:21:16.591657Z",75,5.524,"Thankful","2024-12-09T14:21:16.591657Z"
"càng biết về lịch_sử lại càng thêm tự_hào red_heart red_heart red_heart",78,"1","2024-12-09T14:21:20.475871Z",76,3.619,"Proud","2024-12-09T14:21:20.475871Z"
"Tiếng tới ha nội quan Trung_Quốc chết hết",79,"1","2024-12-09T14:21:28.508336Z",77,7.749,"Angry","2024-12-09T14:21:28.508336Z"
"Vdv điền_kinh Phạm_Văn_Phú face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",80,"1","2024-12-09T14:21:33.460862Z",78,4.676,"Neutral","2024-12-09T14:21:33.460862Z"
"ផល យ ញ kinh_tế gấp 2 lần Cam à mà thôi",81,"1","2024-12-09T14:21:36.665261Z",79,2.939,"Neutral","2024-12-09T14:21:36.665261Z"
"Tinh_thần Việt_Nam bất_khuất Biểt hi_sinh biết mất_mát nhưng vẫn cứ lao lên bất_chấp mưa bom_đạn pháo tối_tân của quân_thù Luôn nhớ ơn các anh những người chiến_sĩ cách_mạng anh_hùng",82,"1","2024-12-09T14:21:42.555094Z",80,5.625,"Proud","2024-12-09T14:21:42.555094Z"
"Được ăn đồ ăn của pháp ai chả thích cho_nên nó chết vì đói bắt_buộc phải đầu_hàng thôi",83,"1","2024-12-09T14:21:56.051680Z",81,13.224,"Neutral","2024-12-09T14:21:56.051680Z"
"jackchoo9336 aaaaaaaaaaaaaaaaaaaaaaaa red_heart face_with_tears_of_joy Viêtnam dềnce 1 03 33",84,"1","2024-12-09T14:22:02.101545Z",82,5.765,"Neutral","2024-12-09T14:22:02.101545Z"
"Thua sấp_mặt đệ_tử của tướng Giáp mà khi sang Mỹ ô Đảo mồm cứ lải_nhải không phục tướng Giáp tướng Giáp không giỏi Còn khóc đòi tử thủ mới kinh chứ tử thủ ở Cali_kkkkk",85,"1","2024-12-09T14:22:13.324353Z",83,10.938,"Proud","2024-12-09T14:22:13.324353Z"
"Tính cả tuổi_mụ mình dược 76 tuỏi rồi đấy xem trọn clips hồi_kí C D H C M Giải_phóng M N mà nhớ bao bạn_bè người mất người còn cho tới cácĐIA DANH NGÀY_xưa cứ nhớ hoài ngồn_ngộn cưe trào về xốn_xang hạnh_phúc vsf thấyĐOWIF QUÁ NGẮN BẠN ƠI",86,"1","2024-12-09T14:22:19.760145Z",84,6.153,"Neutral","2024-12-09T14:22:19.760145Z"
"Biết_ơn vì Việt_Nam tuy luôn bị nhòm_ngó nhưng lại là nơi sản_sinh ra những con_người tài_giỏi có tâm với đất_nước",87,"1","2024-12-09T14:22:25.263652Z",85,5.217,"Thankful","2024-12-09T14:22:25.263652Z"
"Nếu Trung_Quốc năm đó cứ tiến sâu về phía Hà_Nội thì thứ mà họ mất không chỉ là tổn_thất về quân_sự mà còn mất luôn cả mặt_mũi với Quốc_Tế",88,"1","2024-12-09T14:22:32.396324Z",86,6.842,"Neutral","2024-12-09T14:22:32.396324Z"
"พรช ยทว ค ณพ นทร พย q",89,"1","2024-12-09T14:22:34.759321Z",87,2.086,"Neutral","2024-12-09T14:22:34.759321Z"
"Cảm_ơn bác đã cống_hiến tuổi thanh_xuân cho tổ_quốc",90,"1","2024-12-09T14:22:39.627826Z",88,4.581,"Thankful","2024-12-09T14:22:39.627826Z"
"danh cho lam vao cuoi cung cung co chiem duoc quang tri dau noi thi nghe hay lam dau ai biet quan cs chet bao nhieu tai chet nhieu qua không dam noi ong cua minh truoc danh nam 1968 bao vao nhieu chet het mai la ong tron trong nha dan nen moi con song cu xl la gioi",91,"1","2024-12-09T14:23:53.052033Z",89,73.149,"Neutral","2024-12-09T14:23:53.052033Z"
"congpham kj2gu đánh cho mỹ cút đánh cho ngụy_nhào được cả một đất_nước hòa bình cho đến tận bây_giờ",92,"1","2024-12-09T14:23:59.216893Z",90,5.856,"Proud","2024-12-09T14:23:59.216893Z"
"Bố vợ mình cũng hy_sinh năm 1968 ở chiến_trường chống bọn Ngụy và Mỹ bọn chư_hầu đến bây_giờ cũng chưa tìm thấy phần mộ",93,"1","2024-12-09T14:24:10.292399Z",91,10.777,"Sad","2024-12-09T14:24:10.292399Z"
"Chua chac con ac mong cua ai dau",94,"1","2024-12-09T14:24:21.230130Z",92,10.614,"Neutral","2024-12-09T14:24:21.230130Z"
"Xem_lại lịch_sử Việt_Nam nước_mắt đều rơi crying_face crying_face Luôn ghi_nhớ công_ơn và sự hy_sinh của các cụ red_heart",95,"1","2024-12-09T14:25:09.998792Z",93,48.485,"Thankful","2024-12-09T14:25:09.998792Z"
"Cái này mình nghĩ là do không được dân theo thôi Vì mấy cái quyết_định như ấp chiến_lược Và mấy vụ tàn_sát nguyên cả làng để lấy công Làm mất_lòng dân nên mới thua Chứ nghĩ sao quân_trang hùng_mạnh thế_mà thua sấp_mặt",96,"1","2024-12-09T14:25:23.942577Z",94,13.671,"Neutral","2024-12-09T14:25:23.942577Z"
"Tôi là người có măt trong những trân ấy vcảm thấy tức với lũ chẻ răng ấy",97,"1","2024-12-09T14:25:30.619305Z",95,6.376,"Angry","2024-12-09T14:25:30.619305Z"
"nguyenxuanhai869 mình nói cái gì vậy",98,"1","2024-12-09T14:25:32.998907Z",96,2.109,"Neutral","2024-12-09T14:25:32.998907Z"
